http://80.73.112.171:80 - Metten, BY, Germany
http://80.73.112.172:80 - Metten, BY, Germany
http://82.198.194.150:80 - Bremen, HB, Germany
http://134.76.205.76:80 - Göttingen, NI, Germany
http://5.10.10.199:50000 - Konstanz, BW, Germany
http://37.24.24.185:88 - Stuttgart, BW, Germany
http://89.107.164.96:8000 - Dessau, ST, Germany
http://80.152.249.22:80 - Düsseldorf, NW, Germany
http://217.91.0.13:80 - Hanover, NI, Germany
http://87.139.153.80:80 - Nuremberg, BY, Germany
http://90.187.89.13:8001 - Wedel, SH, Germany
http://207.89.102.161:8080 - Witten, NW, Germany
http://185.146.206.159:80 - Obergünzburg, BY, Germany
http://80.152.138.183:80 - Neuss, NW, Germany
http://130.180.21.202:8081 - Frankfurt am Main, HE, Germany
http://37.24.129.182:81 - Frankfurt am Main, HE, Germany
http://80.153.66.33:80 - Leipzig, SN, Germany
http://80.147.147.157:50001 - Frankfurt am Main, HE, Germany
http://80.153.205.89:81 - Hanover, NI, Germany
http://217.86.173.126:80 - Stuttgart, BW, Germany
http://87.128.61.124:8081 - Berlin, BE, Germany
http://87.128.61.124:8084 - Berlin, BE, Germany
http://87.128.61.124:8083 - Berlin, BE, Germany
http://5.100.32.48:8001 - Coburg, BY, Germany
http://191.101.165.194:8888 - Houston, TX, United States
http://217.229.224.149:88 - Heinsberg, NW, Germany
http://155.133.206.74:8080 - Radeburg, SN, Germany
http://156.67.224.173:80 - Bad Saarow, BB, Germany
