http://217.128.254.187:8081 - Paris, IDF, France
http://109.190.32.145:81 - Roubaix, HDF, France
http://147.173.216.121:80 - Grenoble, ARA, France
http://80.15.116.66:84 - Paris, IDF, France
http://91.166.193.202:8080 - Marseille, PAC, France
http://81.67.25.88:8080 - Ville-d'Avray, IDF, France
http://81.67.25.88:8081 - Ville-d'Avray, IDF, France
http://193.253.218.101:80 - Paris, IDF, France
http://80.15.183.96:81 - Paris, IDF, France
http://92.173.229.29:8080 - Paris, IDF, France
http://82.64.205.80:86 - Paris, IDF, France
http://80.11.37.19:83 - Paris, IDF, France
http://212.114.24.142:80 - Carcassonne, OCC, France
http://176.142.104.114:8080 - Vitrolles, PAC, France
http://80.11.37.19:81 - Paris, IDF, France
http://82.66.110.175:8888 - Gressy, IDF, France
http://80.14.198.34:82 - Paris, IDF, France
http://77.135.210.109:80 - Paris, IDF, France
http://217.128.94.112:8082 - Paris, IDF, France
http://82.127.249.27:8000 - Paris, IDF, France
http://77.193.208.216:80 - Miramas, PAC, France
http://90.63.255.188:81 - Paris, IDF, France
http://82.65.143.75:80 - Paris, IDF, France
http://80.15.121.106:8082 - Paris, IDF, France
http://80.15.121.106:8081 - Paris, IDF, France
http://80.15.121.106:8084 - Paris, IDF, France
http://80.15.121.106:8083 - Paris, IDF, France
http://88.166.245.77:82 - Séné, BRE, France
