http://117.215.128.17:82 - Mysore, KA, India
http://183.82.102.243:83 - Hyderabad, TS, India
http://183.82.102.243:82 - Hyderabad, TS, India
http://183.82.102.243:84 - Hyderabad, TS, India
http://183.82.102.243:89 - Hyderabad, TS, India
http://183.82.102.243:88 - Hyderabad, TS, India
http://27.121.101.62:60001 - Nadiād, GJ, India
http://106.51.250.2:60001 - Bengaluru, KA, India
http://61.246.194.45:8080 - Ahmedabad, GJ, India
http://61.246.194.45:80 - Ahmedabad, GJ, India
http://117.215.128.17:86 - Mysore, KA, India
http://117.215.128.17:88 - Mysore, KA, India
http://117.215.128.17:82 - Mysore, KA, India
http://183.82.102.243:83 - Hyderabad, TS, India
http://183.82.102.243:82 - Hyderabad, TS, India
http://183.82.102.243:84 - Hyderabad, TS, India
http://183.82.102.243:89 - Hyderabad, TS, India
http://183.82.102.243:88 - Hyderabad, TS, India
http://117.215.128.17:82 - Mysore, KA, India
http://183.82.102.243:83 - Hyderabad, TS, India
http://183.82.102.243:82 - Hyderabad, TS, India
http://183.82.102.243:84 - Hyderabad, TS, India
http://183.82.102.243:89 - Hyderabad, TS, India
http://183.82.102.243:88 - Hyderabad, TS, India
http://117.215.128.17:82 - Mysore, KA, India
http://183.82.102.243:83 - Hyderabad, TS, India
http://183.82.102.243:82 - Hyderabad, TS, India
http://183.82.102.243:84 - Hyderabad, TS, India
http://183.82.102.243:89 - Hyderabad, TS, India
http://183.82.102.243:88 - Hyderabad, TS, India
